lane_1,lane_2,lane_3,lane_4
67.68491,66.48722,66.357056,49.820763
67.540016,66.56281,66.54642,48.4535
67.42042,66.52357,66.8757,51.11647
65.59183,66.582275,66.08832,51.045975
66.62819,65.75813,66.12981,50.72559
67.867424,65.91579,66.43473,52.274303
64.827065,65.16214,65.85557,52.389008
66.087944,66.40698,65.90619,51.591473
65.646835,66.67031,65.96723,50.880543
65.43333,67.05726,66.15275,51.912056
65.42334,66.05478,66.014465,53.62429
65.218636,66.62685,65.56439,52.336834
66.45584,66.70292,66.542946,52.240192
64.879,66.24823,65.52054,52.19337
67.13261,66.53525,67.29128,51.07753
66.4898,66.4014,66.64518,50.8762
66.03367,66.60058,65.852036,50.817413
64.49921,67.08524,67.12674,52.469795
66.65758,66.4058,66.94165,51.237904
64.79315,67.37611,67.28447,51.61318
65.311844,66.8241,67.21068,51.356327
64.823975,66.41975,67.69718,50.924675
65.044334,66.26793,67.08607,51.957592
64.6418,66.68127,65.8541,53.40883
64.59844,66.35042,65.5172,52.372402
64.01929,66.07958,65.9531,50.50551
63.67282,67.57947,67.80584,53.163223
16.04029,26.514332,22.44111,15.179436
15.293067,20.290682,16.14071,11.009831
9.24892,12.806506,10.058145,6.887747
5.631783,8.328993,6.4827313,4.723871
3.2220902,5.400394,4.0688977,3.2736404
1.8301787,3.6205509,2.520526,2.3235676
1.1253912,2.5978749,1.5669782,1.7007954
0.8502114,2.0461452,1.0117718,1.3030803
0.8172148,1.7615229,0.7068848,1.057453
59.807236,57.71666,61.967102,47.950077
60.379307,60.192516,62.281094,50.45424
62.02011,63.026844,63.644993,49.75523
63.1311,63.9112,65.13111,47.705437
65.48198,65.62683,64.77917,50.245422
63.366753,66.30284,66.22754,51.864223
63.811455,65.74426,66.855576,51.487328
63.23044,66.25834,67.73696,51.82563
63.292374,66.010254,66.74561,52.54943
63.748753,66.083916,67.508514,46.736244
64.16512,67.32009,67.079636,51.08359
65.263954,62.76125,60.898117,50.371773
66.45504,66.67541,65.89375,51.7567
64.64687,66.56101,66.64618,51.85462
66.10528,66.562355,66.845085,50.640957
63.05141,66.991264,66.54483,52.240833
64.30526,66.24347,67.03772,52.416565
66.22013,66.59022,67.28853,51.6524
64.719666,65.83816,65.19929,50.637455
66.47207,66.82019,67.11387,52.29914
64.78148,66.62355,67.13626,52.485107
64.77144,66.436874,65.8891,51.49287
67.00652,66.04736,63.952286,49.995403
66.05056,66.86259,66.49364,52.291573
65.1707,66.210464,64.20648,50.094185
64.86871,67.34784,67.27743,53.351856
65.52358,65.05772,67.02642,52.415264
66.21407,66.08775,67.011986,51.869
64.84605,65.751656,66.73293,52.480145
64.3307,65.59244,67.41996,52.20769
64.685135,66.55854,66.907875,51.925518
64.7265,66.26332,66.81744,52.329597
65.09155,65.964584,66.28488,53.680435
63.212353,65.88606,66.81314,52.579937
64.58173,61.410446,60.636497,48.668343
65.1092,65.81614,67.32082,47.001163
65.06061,61.84663,61.99989,51.226044
65.85597,64.99384,66.68337,52.338417
63.213078,63.844826,66.669975,50.926964
64.875084,65.12816,67.24721,52.81003
65.08989,65.519295,67.63909,53.055122
65.7881,61.91515,60.315395,51.072784
64.504005,64.817116,66.46024,53.910717
65.11314,64.48669,66.602806,53.138485
63.20746,65.05336,66.33582,53.16365
64.22781,65.22713,67.0657,52.36872
62.484787,64.869385,67.87119,53.471622
63.45898,64.72946,67.08795,53.30953
62.905346,64.2578,64.9609,52.301834
47.76931,64.89332,66.63714,52.30173
49.301235,65.7407,67.39568,51.67374
52.99579,62.529457,66.512695,28.334166
63.751198,65.7671,69.12124,22.060509
61.086338,64.72159,66.55956,20.151749
63.097443,63.564003,67.78604,18.481937
61.83873,64.92103,68.48603,29.271263
48.84887,64.706314,66.57417,35.969803
34.62169,63.987354,67.4284,38.440807
40.649803,64.662506,68.48481,45.47591
46.957783,65.49493,68.70178,49.695274
61.05683,64.08946,67.97207,37.368263
63.416187,59.653084,62.1729,18.71024
65.66604,65.32898,68.13141,20.401175
65.26749,64.13346,67.272644,14.507867
67.23389,66.52289,68.05714,23.50462
62.18991,64.649956,66.19966,26.902561
67.86483,65.64263,67.684525,24.661165
66.95189,65.51585,67.698944,21.144659
65.17103,66.088875,68.37035,18.080494
66.51227,67.30607,68.47411,24.472769
67.852356,67.22439,68.37641,34.478863
68.362564,67.75534,67.16288,46.71607
67.16139,66.39573,66.29998,49.439495
67.83775,67.58898,67.327286,51.575317
68.21719,67.6831,67.26044,51.61336
68.24279,68.23529,67.973564,53.82045
68.96473,68.10617,67.42748,54.653893
69.35905,67.78942,67.74509,56.141483
69.18008,68.01322,67.82699,57.68604
68.402534,67.61643,67.66538,53.137028
69.41687,68.10038,67.27354,52.196693
67.907196,68.369354,67.46653,54.247467
68.20549,67.5192,66.52277,55.49992
67.527885,67.668106,66.97833,55.906967
69.097466,67.26601,67.760284,56.279892
67.97986,67.29292,67.23457,56.50165
67.38487,67.379196,67.46486,55.53402
68.67624,67.14336,67.17224,56.4916
64.70987,60.871304,67.991684,57.82635
67.86276,65.69491,69.55814,57.981625
66.62613,65.79717,68.201416,58.016357
67.15177,66.62903,67.92169,56.89943
68.47324,67.02352,67.8601,57.15681
67.47883,66.926315,67.75266,57.9941
66.77481,66.97844,68.0415,56.8939
67.07449,66.28579,67.67404,57.18794
66.28353,67.15838,67.09271,59.234005
66.39005,63.8011,67.06809,53.952187
66.71192,66.63748,68.28173,55.913208
67.71243,67.05216,68.49166,58.58931
67.63923,67.10515,67.92777,57.85629
66.4625,67.38692,67.14383,59.58486
65.49556,67.04385,65.63173,57.89898
68.071625,68.041504,67.451195,59.04763
67.43339,67.0434,67.39016,58.49824
67.28334,67.82271,68.24902,58.233597
66.4189,67.84493,67.44354,58.18214
66.61588,67.75201,67.622055,59.270935
66.35274,63.309982,67.45783,55.100574
68.3522,66.5551,60.645542,54.42795
63.163185,68.30948,66.799995,58.566555
65.83798,67.42119,67.75399,58.208187
65.33981,67.1033,68.31226,54.511963
64.31481,68.23162,68.4706,57.11896
65.815506,66.66864,66.820526,59.297813
62.65716,67.22351,67.558304,60.216965
66.06356,67.344765,67.31522,59.85859
63.160522,67.68077,65.21082,60.508766
66.04284,67.609505,66.90832,60.673088
65.95356,67.57455,65.53248,59.81646
64.49505,67.48876,67.51917,60.58326
64.875565,67.94001,66.96845,57.06607
64.85112,63.82465,67.497536,59.76619
68.10182,66.201004,66.65763,58.430424
62.980885,67.3781,65.57718,59.721706
63.922874,68.41369,67.19408,60.490135
65.81032,68.01533,65.96229,61.009594
63.56724,66.97858,66.21445,61.20489
62.619064,67.02194,67.094086,61.802002
64.428444,66.503685,61.90354,64.06086
56.531597,66.7004,62.855824,58.674915
65.47549,67.41955,62.798252,61.80855
62.71996,66.004105,67.23769,60.689457
63.87708,65.52049,64.366295,62.02095
65.3014,65.02932,65.28755,61.116478
57.763474,67.35992,67.43064,61.286495
57.97182,65.86434,61.942215,61.85853
64.175705,66.22847,64.4268,60.107254
62.848366,66.73146,65.30362,61.066654
62.61385,63.844284,62.88927,58.98241
67.000084,66.35295,67.837166,62.664444
66.63229,64.941345,64.94184,58.66747
64.98976,65.91491,67.8479,59.847828
65.17515,65.73396,63.818764,58.494698
67.7599,65.37071,59.113655,59.012062
62.753464,64.74687,66.05751,58.841274
61.01406,67.285706,63.5914,61.949265
63.495586,65.95122,65.96841,62.862675
52.463776,65.942215,65.94796,60.831924
62.419518,65.15229,64.346596,60.62033
62.090973,65.131676,63.79942,58.57136
56.14013,65.64787,66.16197,58.157448
67.42678,64.11635,66.59785,58.35936
64.61319,63.79411,66.9199,59.4394
62.386322,63.557114,62.408676,56.01121
63.46629,66.060394,67.37254,54.117966
61.739983,65.46828,65.98854,58.61558
62.333244,64.77688,67.43713,55.462704
60.89386,64.49093,65.42598,56.108868
57.525925,65.11054,68.344025,54.182434
62.470657,65.120514,66.98356,56.981205
62.298637,64.30511,65.420425,54.68115
58.288223,65.51715,61.862507,55.192062
62.203217,65.57998,67.21715,50.63842
57.18648,63.281162,63.675392,53.011414
60.177517,64.7504,67.06699,53.153515
59.904167,63.63521,67.43769,54.03351
55.51921,64.244125,68.99821,56.004364
61.164352,58.54085,65.22932,54.190754
56.99896,63.810112,68.18111,50.450256
60.649708,62.576485,64.51219,48.462513
64.872406,66.210945,68.45954,55.087414
55.32591,63.915295,66.73122,53.65779
61.77131,65.02424,65.65928,53.077686
60.51006,59.879982,68.16247,55.986404
61.658974,61.344044,66.92329,56.14208
61.544308,61.63086,66.35264,54.386425
64.16699,63.99289,65.54087,51.2109
62.54423,62.218815,65.79895,57.055252
58.841724,65.5832,64.33468,58.08877
63.599407,65.25239,67.13779,55.94015
62.947144,64.51759,67.42767,58.01932
62.85537,62.339428,66.55212,56.43267
66.085144,63.52013,67.30334,55.857048
59.552696,64.72251,65.06219,58.0154
64.34372,64.00445,65.34184,57.83013
61.268192,64.2478,67.81782,57.253735
61.68872,65.420784,68.03647,57.85077
63.210716,65.65434,67.038055,57.688698
64.75241,65.34996,66.124084,52.0816
62.91451,64.685555,68.1848,55.689556
63.0145,64.76537,68.0181,56.93789
64.96068,65.380486,68.45734,57.530807
63.949356,64.10889,67.58893,55.408897
65.35163,64.96502,68.57681,57.10656
64.52663,63.603607,67.63362,54.509926
66.68338,65.18346,68.55775,56.17598
66.29264,65.9731,68.250206,57.863728
65.26337,65.01476,67.77336,55.312588
65.270775,66.04944,68.32154,56.134697
67.16067,65.89915,67.837,53.12796
65.83059,65.29172,67.55052,53.75938
65.6052,65.157776,67.382614,53.87003
66.99563,65.866394,66.50189,54.048615
65.395996,63.83941,66.528114,51.53201
68.29988,64.88037,67.310036,53.5853
67.355896,65.585625,65.08764,51.90546
65.82659,65.60962,61.84713,54.20641
67.97934,64.17818,55.219284,52.514072
68.6737,66.386894,55.75922,53.661705
68.79733,66.44813,61.54274,52.679935
68.2824,66.44191,60.65731,53.215508
68.71871,64.868065,50.970695,52.076443
68.78679,64.21383,35.144238,49.471245
69.10723,65.23037,28.593555,50.45056
68.74854,66.134636,21.29296,52.545425
68.11208,66.56875,19.759758,51.396873
66.68495,65.993774,19.103706,45.06769
68.327896,67.59814,20.365759,48.168587
67.76178,66.70733,25.592611,45.870117
68.02613,67.35894,23.949162,51.245895
66.259766,66.15179,23.466051,50.93343
66.68446,67.79636,33.81897,52.361225
66.59817,65.76532,23.892384,50.854683
65.5087,67.10486,25.02421,52.34093
68.010345,62.64612,15.448259,53.570766
67.16249,61.42772,14.540833,53.086025
68.02972,66.49951,22.017878,52.16676
67.0529,65.690445,19.87089,52.364384
65.86868,64.99442,19.062382,53.71806
66.96813,61.96353,16.88779,51.019596
66.346504,65.19027,24.767342,50.778103
66.776596,65.233826,19.387989,50.053093
66.826675,65.49791,18.772388,47.348373
64.70242,66.21002,14.766785,50.863796
66.3499,66.99285,18.279465,52.641884
64.93298,65.48528,25.128302,49.089577
63.98087,65.52747,27.522614,49.20968
65.63378,65.39284,24.919052,49.434822
63.61801,67.355415,38.995358,50.50735
65.76754,64.35329,38.88474,48.318207
64.03846,67.17922,58.56677,49.71289
64.762886,65.99677,64.75925,48.174843
14.914278,25.018734,20.586016,12.347354
14.704784,19.605146,16.080458,9.976521
8.851341,12.329108,10.584176,6.2427664
5.505782,8.08048,7.229696,4.374334
3.2472954,5.2772884,4.7991295,3.0818055
1.928661,3.5661025,3.1373696,2.224509
1.2404116,2.577294,2.021757,1.6465255
0.94824016,2.04173,1.2962725,1.2717088
0.8901588,1.7613981,0.8713495,1.035734
0.9362955,1.6178794,0.60482883,0.9076266
62.637825,58.877354,63.577953,47.771507
61.1665,60.52323,61.54964,47.735275
64.77923,61.717842,63.261925,50.651672
68.013016,63.21332,63.270466,51.874332
65.13468,64.85765,65.51598,48.23899
64.9523,65.692215,66.84353,48.19977
65.544815,65.4923,66.1719,47.320755
66.28325,66.20313,66.64998,48.644066
63.91171,65.98779,67.44386,49.130745
63.341663,66.46474,66.9543,47.677727
64.51858,67.30023,67.17815,48.05551
64.556145,67.41572,66.63337,50.410366
64.39248,66.95585,67.476616,49.268326
64.1646,66.62826,67.529526,48.262566
64.97032,67.4859,67.70487,50.30434
62.98396,66.9177,67.71949,49.943058
65.88523,66.84281,67.14111,49.97498
64.284,66.36802,66.62476,47.85621
64.49965,67.18157,67.795494,49.137234
63.928715,67.415855,65.99871,48.78288
65.051384,67.54631,66.66829,48.72028
64.18908,66.51978,67.06679,46.235542
66.47348,67.8044,67.9815,49.825043
64.667366,66.340324,66.82205,49.377853
65.94649,67.033646,67.388535,51.286057
63.899227,67.32362,67.046555,53.161842
64.85118,67.18306,66.006546,51.315063
65.902336,67.4621,65.952225,51.134888
63.642452,68.00506,65.28934,50.118008
64.37564,67.95731,66.38659,51.404797
65.721016,67.83378,66.701324,50.415485
64.2318,66.66325,66.132034,46.790104
66.44964,67.3656,67.46314,48.919697
64.586044,66.26959,64.69549,47.433933
65.68305,68.08359,66.76466,51.742218
64.71917,66.72888,66.87667,49.964657
64.959274,66.90994,66.900024,51.497227
65.08323,66.66665,67.08602,53.416164
62.86969,66.66929,66.73456,51.707012
65.14573,66.78852,67.06027,52.161537
63.628017,67.32535,66.19719,51.86364
63.07412,63.682304,63.924995,52.75546
16.794527,25.63241,21.85687,15.5108795
15.322524,19.630219,15.78177,11.049838
9.259382,12.431079,9.903411,6.9164395
5.612855,8.080633,6.3854175,4.722466
3.2036748,5.2357793,4.004761,3.263195
1.8152287,3.5105343,2.473819,2.3101301
1.1145034,2.5258036,1.5300133,1.6857476
0.8442456,1.9998217,0.9845155,1.2894261
0.811922,1.7298156,0.686227,1.0435861
60.3038,57.90966,62.171387,43.94254
60.56628,60.5569,61.15349,48.103157
64.57463,62.868603,62.727615,49.835045
62.146442,63.442055,64.50812,48.7294
64.26976,65.41081,65.83271,50.586586
61.835495,65.44534,64.069016,49.34077
63.429367,66.3767,65.529274,49.905228
62.979744,65.98855,64.45949,51.697407
63.850494,66.08051,66.24859,51.90453
63.03719,65.493034,65.945114,50.71171
65.18886,66.1509,66.19636,51.3689
64.14924,65.81453,66.097404,51.091427
63.944103,65.917015,65.98242,48.790386
64.931114,66.86858,66.86487,51.078133
66.27835,65.821655,66.03494,50.47469
64.5577,65.699265,66.2125,50.144184
65.21032,66.32516,66.456276,54.953
62.428627,65.07815,65.4596,51.268635
66.35013,66.869,67.9346,55.537403
64.343185,61.500767,65.57989,51.37097
65.37585,64.80275,67.75196,52.691196
63.198227,64.3081,65.96864,45.615623
64.3779,64.05284,65.31632,29.184122
65.81853,63.68316,67.51712,29.263819
64.10594,61.049404,67.2236,25.90042
47.149467,63.235306,67.14397,34.97625
29.035206,62.482414,65.06241,24.388138
29.688917,63.99364,67.76481,27.843107
29.729261,63.47622,66.98884,21.399338
26.320822,65.57998,68.2112,37.839687
23.110518,63.274586,66.21276,42.324554
18.688675,61.9079,66.10697,26.427246
19.787579,64.212715,67.23209,28.863884
14.622898,61.31149,65.71655,22.572174
17.38347,61.28433,67.90531,21.305433
21.596848,62.814404,67.98347,30.98466
17.427038,63.378094,66.70841,32.257156
13.5132,62.626698,66.84909,22.924274
18.194017,63.318584,67.65538,25.988071
16.26475,63.310333,68.265,31.729004
16.53513,64.063515,67.09478,29.028065
18.992775,62.889038,66.49627,23.941708
24.441498,60.102905,62.230965,27.1895
20.406685,63.292625,66.56037,37.401108
17.8323,63.14945,66.36512,40.91571
21.488672,63.627316,66.80089,38.498665
18.254961,63.84421,67.06063,38.99245
26.384026,64.719635,68.246414,38.800808
20.184565,63.567005,67.895195,43.416916
19.316507,65.11049,67.30525,44.95921
23.826456,65.504326,67.8326,48.687683
22.026167,65.08562,66.872086,49.83982
26.802814,65.560036,67.85569,46.90915
25.39971,65.585175,68.60318,51.376095
51.41191,64.48162,69.88417,53.225445
63.38586,65.71672,69.6542,51.135586
65.22643,67.16342,67.85778,55.281876
65.66005,66.04582,66.74085,53.079063
67.32996,66.775246,67.1731,53.635406
67.63107,67.14206,66.79634,54.27683
65.99396,66.70733,68.03072,54.981308
67.42369,67.44227,66.300186,53.878117
68.08555,67.708466,67.31056,56.787018
68.20111,67.99504,67.19701,57.664337
68.61201,67.15451,67.65964,56.965004
68.18812,66.541245,67.30504,57.050556
69.0835,66.31205,66.957985,56.21565
68.87045,66.13226,66.73097,53.266254
68.065575,67.31548,67.74707,56.845074
69.43574,66.27506,67.75548,58.476276
67.32419,65.76154,66.66279,57.35775
68.94009,65.76592,66.13233,56.66332
68.79833,66.62552,61.815994,56.76473
67.531586,65.981544,57.634663,57.246323
66.974,67.09667,60.6399,57.442936
68.53879,66.186035,54.29222,55.55418
69.055885,67.90904,60.829285,56.41045
68.978096,66.18114,57.08774,57.15353
67.99201,63.305756,27.733852,56.14604
67.53354,66.621414,27.02106,59.076633
68.34939,64.79538,9.720437,58.48174
68.47919,66.986244,9.602472,57.75099
65.75677,68.18555,19.136724,58.016117
69.24794,70.113335,44.16252,58.755913
67.90937,68.79313,62.345444,56.670643
66.873436,67.366974,66.57916,57.98691
67.10834,65.77874,65.367,55.863655
65.68351,67.398834,66.304726,56.885895
67.40198,66.768555,64.93711,53.63659
67.212364,68.121315,66.27155,58.509235
66.056366,66.179825,62.407574,56.118435
66.97017,67.15691,65.00863,57.571667
65.22284,67.10431,64.61771,57.240074
66.95755,67.72454,61.603977,57.66456
66.62966,67.54893,65.7954,56.702812
67.09726,66.741806,64.58904,58.391518
67.22041,67.59623,65.26969,58.150845
64.55529,65.935524,61.01652,56.801003
66.33804,68.13081,64.68797,60.58355
66.11413,67.209656,63.51214,59.585815
66.234344,66.960556,65.166374,58.213066
67.23281,66.82131,56.50229,58.85171
67.47986,67.84287,62.464527,61.250214
65.480125,67.08803,60.337418,61.41223
67.82772,67.4309,62.31332,58.98238
63.389297,67.879944,65.76606,59.905903
64.244,66.43827,60.1846,55.65717
64.42397,66.74783,59.503624,60.565903
64.99378,67.78055,61.095196,61.549877
65.673744,67.52534,62.22182,62.732998
64.40173,66.84597,60.50678,60.98396
60.960148,67.664894,61.0323,59.121925
65.8062,67.247925,60.831787,63.74774
61.647728,66.03425,61.838634,62.372128
67.30088,67.63683,64.74604,62.418888
64.93328,64.83013,62.937817,59.259922
62.604916,65.07459,60.02173,60.527817
66.559875,66.99715,62.15113,61.85375
63.59988,66.99818,60.586704,61.087532
67.75395,67.55874,65.9234,62.3413
65.6905,67.14506,64.231895,60.40725
64.54829,65.80308,60.445408,59.86099
64.47735,65.95068,59.21825,59.569508
62.88176,66.6281,61.82591,59.191895
65.57035,66.12239,59.908318,60.79857
66.65699,66.89252,62.24141,61.196156
65.66436,66.833145,66.400505,60.393116
65.294044,66.66215,64.37502,60.49181
59.898006,64.10711,61.117344,56.242756
64.681015,65.217636,65.772514,56.73369
68.824394,66.257645,62.45665,57.615585
62.15275,65.72458,57.947926,57.94084
61.154354,67.00337,65.186775,57.51459
57.309616,63.31128,58.97627,53.33159
66.97049,67.93393,56.12083,56.442753
61.122734,67.49075,64.03232,57.2064
56.409195,65.932144,58.321056,60.160885
62.38933,63.718708,62.542408,60.118237
63.967285,63.869057,61.82469,57.10701
62.49952,63.827644,59.520985,56.52729
63.146564,64.26111,63.337685,59.2346
55.077553,64.729744,60.920006,57.479416
64.479515,66.84561,60.843468,57.317463
61.58196,65.989525,63.72238,57.887844
62.53049,63.81259,62.681778,57.60286
63.965054,67.45386,66.18527,59.538708
59.063988,65.521645,63.480495,57.82155
64.27028,66.762344,66.77503,53.448383
65.05334,64.85592,63.439198,53.986664
56.96646,66.17341,59.97823,53.777527
55.361214,68.00034,63.660698,59.559338
62.492214,65.02244,62.332924,59.730713
62.51055,63.926323,63.123127,53.52104
52.110863,59.684467,61.905136,55.195225
58.368984,61.9114,61.09961,55.59844
52.5514,62.116726,62.753693,55.0636
62.319584,65.36298,67.945854,55.782806
57.799026,62.720303,66.41609,58.5412
53.653378,63.10923,67.9529,56.294018
59.873104,64.27986,67.795845,58.785267
59.47411,63.450825,63.88122,60.2422
60.62795,64.86504,66.246704,56.146564
63.378704,61.100365,64.123955,56.549107
61.850143,64.25024,68.17485,59.719906
62.451286,62.02122,65.30982,57.358887
66.094696,63.546036,67.41188,60.138798
64.47511,61.49844,66.798874,56.98265
65.54966,66.17234,67.705246,60.61834
64.640114,63.61494,67.14006,58.494392
61.914635,62.71618,66.59854,58.30994
62.768368,61.59955,66.263214,56.063114
65.95277,63.684845,67.716095,56.07755
65.39966,61.42477,64.51335,56.672764
66.98692,65.23726,65.60011,60.159103
66.01536,61.85462,66.1049,55.940403
64.75981,63.618443,68.612434,56.84367
60.60712,61.682053,67.62477,52.349415
65.415794,63.530514,69.15653,54.27542
65.94685,64.16438,67.78246,55.486134
65.85903,64.66187,67.4872,55.955364
64.91812,66.11657,67.05315,54.903286
67.71885,65.01031,67.78675,51.96826
66.29581,60.46057,61.611256,54.003567
66.82404,61.29312,60.200882,56.25226
68.03621,65.75061,65.458626,54.89985
65.43237,64.14291,66.45702,52.765007
67.0602,66.31214,67.45462,53.30935
66.56773,64.50994,66.6262,54.22097
66.66887,65.30086,66.81462,53.079117
66.525475,64.86993,65.03509,52.973206
65.803665,66.64613,66.012764,53.92296
67.28811,64.44977,65.193756,52.60533
65.979416,64.473724,46.780556,52.487743
67.952415,64.994514,31.802633,52.524273
68.08473,66.79099,32.00403,51.322323
67.8088,66.53373,28.705683,52.429966
68.188545,66.80413,32.833702,50.86638
68.4864,65.51653,27.471119,50.348408
68.76195,65.82885,21.920204,49.73911
68.82953,66.69382,26.358784,50.13203
69.51817,65.5721,18.253258,49.002953
67.785385,65.64857,18.419298,49.227257
68.49965,66.79505,21.960564,49.49452
67.67622,66.055084,23.592855,50.871204
67.31404,61.86761,16.317656,45.72022
67.762596,67.01637,25.099308,51.60714
67.52686,64.8388,19.050842,48.996643
67.972435,65.43146,17.391544,51.489616
65.40547,66.162186,21.841364,52.505047
66.93476,65.925835,22.495214,52.92554
65.49447,65.651886,18.550745,53.055717
66.567154,65.73047,17.85963,50.48088
67.974144,65.535965,12.873096,51.557934
66.30527,66.17878,17.128704,54.242836
67.512695,65.53689,15.915142,52.59224
67.21689,65.67915,18.421227,52.827774
66.35671,66.62197,20.065924,53.802494
66.965675,66.3677,16.920467,52.025402
66.09557,65.51891,17.97264,51.49147
65.43334,66.0734,20.029839,52.09547
64.85339,66.02669,26.001635,51.39516
66.02191,65.111404,20.062883,51.374367
65.77417,66.05015,23.78399,50.021233
64.8906,66.387184,29.767887,51.214046
66.13068,66.19983,24.960032,52.324142
66.421745,65.72579,19.888212,52.54941
65.36153,65.81193,20.537922,47.134758
65.738365,65.14935,20.96214,44.19455
66.878136,67.52456,25.286556,50.136562
66.06307,66.949524,30.28318,48.963867
64.5683,66.79113,28.802355,50.029522
64.62753,67.19414,36.736355,51.66127
65.03943,66.400925,41.896915,47.679646
66.174385,67.79831,50.734444,50.706398
64.14684,65.869354,57.604908,50.724922
63.664757,65.76103,57.1353,48.856537
64.94258,66.41187,62.523716,49.932323
62.802464,65.57205,67.41723,51.838173
64.56713,65.92707,67.9643,49.757244
65.05379,65.707504,65.76458,49.805954
65.976425,63.122955,67.492455,50.15032
68.36134,65.191025,67.57545,51.041016
64.22268,65.41887,66.417366,49.284317
64.09952,66.163124,66.956314,50.09638
65.01776,65.85386,66.737015,49.90078
65.04297,66.57811,66.76006,50.05019
65.33707,66.92753,66.42682,50.583317
62.2859,66.89757,67.05144,50.76042
62.90889,66.35555,66.94371,45.925793
63.87017,67.194336,67.26223,51.48541
65.163414,66.24738,67.70252,51.35306
62.683323,66.729416,66.8135,50.523167
63.744198,66.6978,66.463326,51.100758
64.29235,67.52176,66.848625,52.834305
65.50843,67.253685,66.933945,51.419304
64.418175,66.80303,66.771286,50.400734
63.196674,67.588875,66.82867,50.881275
63.471985,67.94556,66.94548,51.82423
63.97751,67.27246,66.68283,52.471275
66.03326,67.02671,66.33341,52.832256
65.38119,66.28766,65.3471,46.628025
65.81266,67.18967,66.71186,52.77994
64.700455,66.71655,66.41879,49.858074
64.893364,67.14965,67.17131,48.439713
64.929474,67.46688,67.34756,51.862423
66.0516,66.23575,65.43409,49.623085
63.982143,67.735214,65.98392,52.493496
65.394936,66.06964,65.63623,50.153427
66.11244,67.26266,66.704895,50.06981
65.28169,66.99003,65.89901,51.263714
64.290634,67.72902,65.63266,51.904537
64.23983,67.888275,66.24538,51.729656
62.622578,67.55049,65.202545,48.68676
66.1949,67.75621,66.23924,50.74524
64.74247,66.78145,65.911026,51.927265
65.1863,67.11466,67.05159,51.54816
64.60859,66.324135,66.605194,50.3334
65.473495,65.76901,66.57064,49.44441
63.81396,66.834915,65.42141,49.631306
62.936512,66.23732,64.153244,47.450077
64.98785,67.789375,66.63963,51.170326
61.243813,66.311295,64.68314,50.219883
63.980858,66.064766,65.813126,49.61752
64.046776,66.38583,67.00503,51.196045
64.32814,66.35608,65.60629,44.274784
64.861496,66.53303,65.99674,38.41306
66.1012,66.71017,66.93549,33.452427
65.72755,66.10481,67.656364,34.290253
